Car_ID,Brand,Manufacture_Year,Body_Type,Fuel_Type,Transmission,Engine_CC,Horsepower,Mileage_km_per_l,Price_USD,Manufacturing_Country,Car_Age,Price_Category,HP_per_CC,Age_Category,Efficiency_Score
CAR_0001,Mercedes,2006,SUV,Petrol,Manual,4089,547,17,73407,USA,20,Premium,0.1338,Old,0.35
CAR_0002,Nissan,2023,Coupe,Petrol,Automatic,4618,167,25,79370,USA,3,Premium,0.0362,New,0.75
CAR_0003,Nissan,2007,Hatchback,Diesel,Manual,1802,110,16,76549,China,19,Premium,0.061,Old,0.3
CAR_0004,Nissan,2013,Coupe,Petrol,Manual,1835,373,16,48722,USA,13,Mid-Range,0.2033,Old,0.3
CAR_0005,Hyundai,2009,Hatchback,Hybrid,Automatic,2332,145,28,83265,UK,17,Premium,0.0622,Old,0.9
CAR_0006,Tesla,2012,Coupe,Diesel,Automatic,2124,321,19,63134,UK,14,Premium,0.1511,Old,0.45
CAR_0007,Audi,2011,Hatchback,Petrol,Automatic,4527,342,29,74241,Japan,15,Premium,0.0755,Old,0.95
CAR_0008,Tesla,2016,SUV,Diesel,Automatic,1729,309,20,54364,China,10,Mid-Range,0.1787,Moderate,0.5
CAR_0009,Audi,2017,Hatchback,Hybrid,Manual,1561,470,12,65750,Germany,9,Premium,0.3011,Moderate,0.1
CAR_0010,Honda,2020,Sedan,Electric,Manual,4254,116,17,8511,South Korea,6,Budget,0.0273,Recent,0.35
CAR_0011,Ford,2025,Coupe,Petrol,Automatic,3426,339,17,22948,Japan,1,Budget,0.0989,New,0.35
CAR_0012,Tesla,2009,Coupe,Diesel,Manual,1215,421,14,35738,Germany,17,Mid-Range,0.3465,Old,0.2
CAR_0013,Tesla,2013,Pickup,Electric,Manual,4774,512,15,57947,China,13,Mid-Range,0.1072,Old,0.25
CAR_0014,Audi,2019,Sedan,Petrol,Manual,3057,215,15,20195,Japan,7,Budget,0.0703,Recent,0.25
CAR_0015,Audi,2013,Pickup,Electric,Manual,2637,308,27,100638,Germany,13,Luxury,0.1168,Old,0.85
CAR_0016,Toyota,2020,SUV,Hybrid,Automatic,3384,126,30,109313,China,6,Luxury,0.0372,Recent,1.0
CAR_0017,BMW,2025,SUV,Petrol,Manual,1001,265,20,78610,China,1,Premium,0.2647,New,0.5
CAR_0018,Tesla,2014,Coupe,Diesel,Automatic,3900,389,27,58073,Germany,12,Mid-Range,0.0997,Moderate,0.85
CAR_0019,Nissan,2020,Sedan,Hybrid,Automatic,1603,165,17,56037,Japan,6,Mid-Range,0.1029,Recent,0.35
CAR_0020,Tesla,2013,Coupe,Hybrid,Automatic,4568,573,14,117420,Japan,13,Luxury,0.1254,Old,0.2
CAR_0021,Audi,2010,SUV,Petrol,Automatic,4652,296,28,36761,China,16,Mid-Range,0.0636,Old,0.9
